asset_id,current_path,page,section,current_size,required_size,derived_from_width,aspect_source,aspect_rendered,mime_real,ext_matches,status,action,priority
IMG-070,assets/covers/09-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-071,assets/covers/10.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-072,assets/covers/10.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — full (900x1200)",900x1200,900x1200 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"243 (largest .sr-cover .sr-tile rendered width @1280, clamp(212px,19vw,262px))",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-073,assets/covers/10-640.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-074,assets/covers/10-640.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 640w variant",640x853,640x853 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-075,assets/covers/10-320.jpg,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/jpeg,y,KEEP,none,P3
IMG-076,assets/covers/10-320.webp,index.html (+ shared across method-*.html pages for some numbers),"protocol cover grid, tile+banner picture srcset — 320w variant",320x427,320x427 (already matches .sr-cover .sr-tile aspect-ratio:3/4 — 900/1200=0.75),"n/a — responsive srcset candidate, not the base file",3/4 (source ratio),"3/4 (.sr-cover .sr-tile, css/saferise-system.css:328)",image/webp,y,KEEP,none,P3
IMG-077,assets/covers/t2-01.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-078,assets/covers/t2-02.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-079,assets/covers/t2-03.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-080,assets/covers/t2-04.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-081,assets/covers/t2-05.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-082,assets/covers/t2-06.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-083,assets/covers/t2-07.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-084,assets/covers/t2-08.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-085,assets/covers/t2-09.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-086,assets/covers/t2-10.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-087,assets/covers/t2-banner.jpg,index.html,Track 2 section banner,1654x630,n/a — CSS box for this element not identified in this pass,unverified,"1654/630 (source, ratio 2.63)",UNVERIFIABLE,image/jpeg,y,UNVERIFIABLE,confirm rendered CSS box for the banner element before deriving a required size,P3
IMG-088,assets/covers/t3-01.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-089,assets/covers/t3-02.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-090,assets/covers/t3-03.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-091,assets/covers/t3-04.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-092,assets/covers/t3-05.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-093,assets/covers/t3-06.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-094,assets/covers/t3-07.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-095,assets/covers/t3-08.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-096,assets/covers/t3-09.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-097,assets/covers/t3-10.jpg,index.html,"protocol cover grid, tile+banner (no responsive srcset, one file only)",1086x1448,1086x1448 (matches 3/4),"n/a — not live-measured for t2/t3 grid specifically, inferred from shared .sr-cover .sr-tile CSS","3/4 (source, 1086/1448=0.75)",3/4 (.sr-cover .sr-tile),image/jpeg,y,KEEP,none,P3
IMG-098,assets/covers/t3-banner.jpg,index.html,Track 3 section banner,1654x630,n/a — CSS box for this element not identified in this pass,unverified,"1654/630 (source, ratio 2.63)",UNVERIFIABLE,image/jpeg,y,UNVERIFIABLE,confirm rendered CSS box for the banner element before deriving a required size,P3
IMG-099,assets/covers/banner.jpg,index.html,Track 1 hero video poster (<video poster>),1200x514,"n/a — video poster, no CSS aspect-ratio box to compare against",unverified,1200/514 (source),UNVERIFIABLE,image/jpeg,y,UNVERIFIABLE,confirm against the actual <video> element's rendered box,P3
IMG-100,assets/pt/protocols/anxiety-journey.webp,index.html,"journeyImage data field, Anxiety Reset protocol detail",2172x724,n/a — CSS box not individually confirmed live,unverified,2172/724 (source),UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-101,assets/pt/journey-triptych.webp,index.html,.pt-jband — three moments in one practice,1600x914,n/a — CSS box not individually confirmed live,unverified,1600/914 (source),UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-102,assets/pt/cost-triptych.webp,index.html,.pt-costimg — evening/small hours/morning triptych,1600x533,n/a — CSS box not individually confirmed live,unverified,1600/533 (source),UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-103,assets/pt/nervous-system-range.webp,index.html,.pt-rangeimg — mobilised/regulated/shut-down,1600x639,n/a — CSS box not individually confirmed live,unverified,1600/639 (source),UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-104,assets/pt/protocol-foundation.webp,index.html,.pt-pfimg — 4-step foundation sequence,1600x533,n/a — CSS box not individually confirmed live,unverified,1600/533 (source),UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-105,assets/pt/corridor.webp,index.html,.pt-sixbg — Six Areas section background,1600x533,n/a — CSS box not individually confirmed live,unverified,1600/533 (source),UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-106,assets/media-15.webp,index.html,SOMATIC_DATA[...].img — Somatic Release companion illustration,1600x892,n/a — CSS box not individually confirmed live,unverified,"1600/892 (source, all ten consistently sized)",UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-107,assets/media-16.webp,index.html,SOMATIC_DATA[...].img — Somatic Release companion illustration,1600x892,n/a — CSS box not individually confirmed live,unverified,"1600/892 (source, all ten consistently sized)",UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-108,assets/media-17.webp,index.html,SOMATIC_DATA[...].img — Somatic Release companion illustration,1600x892,n/a — CSS box not individually confirmed live,unverified,"1600/892 (source, all ten consistently sized)",UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-109,assets/media-18.webp,index.html,SOMATIC_DATA[...].img — Somatic Release companion illustration,1600x892,n/a — CSS box not individually confirmed live,unverified,"1600/892 (source, all ten consistently sized)",UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-110,assets/media-19.webp,index.html,SOMATIC_DATA[...].img — Somatic Release companion illustration,1600x892,n/a — CSS box not individually confirmed live,unverified,"1600/892 (source, all ten consistently sized)",UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-111,assets/sr-v23-somatic-transparent-illustrations.webp,index.html,SOMATIC_DATA[...].img — Somatic Release companion illustration,1600x892,n/a — CSS box not individually confirmed live,unverified,"1600/892 (source, all ten consistently sized)",UNVERIFIABLE,image/webp,y,UNVERIFIABLE,confirm rendered CSS box before deriving required size,P3
IMG-112,assets/dashboard/hero-corridor.jpg,dashboard.html,.sr-dash-hero-art — welcome slide,1500x499,"2320x640 (live-measured @1280: renders 1158x320, x2=2316->2320, rounded to nearest 10)","1158 (measured live @1280, dashboard.html)",16.61:5 approx (source 1500/499=3.006),"3.006 (object-fit:cover, object-position 64% 42%, css/saferise-dashboard.css:621)",image/jpeg,y,KEEP,"source (1500x499) already exceeds the derived requirement (2320x... at the RENDERED ratio, object-fit:cover means source ratio need not match box ratio) — no action needed",P3
IMG-113,(does not exist),dashboard.html (via css/saferise-dashboard.css),.sr-dash-archbanner--journal,"n/a — commented out, renders a text placeholder, not a broken <img>","1000x260 (per the developers' own NEEDS ART comment, css/saferise-dashboard.css:694)",n/a,n/a — no image currently renders here to measure,n/a,,n/a,MISSING,provision per the exact spec already written in the CSS comment,P2
IMG-114,(does not exist),dashboard.html (via css/saferise-dashboard.css),.sr-dash-archbanner,"n/a — commented out, renders a text placeholder, not a broken <img>","1200x300 (per the developers' own NEEDS ART comment, css/saferise-dashboard.css:506)",n/a,n/a — no image currently renders here to measure,n/a,,n/a,MISSING,provision per the exact spec already written in the CSS comment,P2
IMG-115,(does not exist),dashboard.html (via css/saferise-dashboard.css),pangolin illustration (unspecified location),"n/a — commented out, renders a text placeholder, not a broken <img>",not specified in the NEEDS ART comment — dimensions not given,n/a,n/a — no image currently renders here to measure,n/a,,n/a,MISSING,provision per the exact spec already written in the CSS comment,P2
IMG-116,(does not exist — assets/method/ directory itself is absent),method.html,Index hero (.sr-mi-hero),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead","1340x300 — explicitly marked 'Reuse, not a new commission: the v29 nervous-system range photograph' (method.html:89-90)",n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-117,(does not exist — assets/method/ directory itself is absent),method.html,Guided meditation art slot,"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x420 (2680x840 @2x) per method.html's own ART SLOT comment,n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-118,(does not exist — assets/method/ directory itself is absent),method-heartmath.html,Section band (ART SLOT B),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x360 (2680x720 @2x),n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-119,(does not exist — assets/method/ directory itself is absent),method-jung.html,Section band (ART SLOT B),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x360 (2680x720 @2x),n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-120,(does not exist — assets/method/ directory itself is absent),method-kross.html,Section band (ART SLOT B),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x360 (2680x720 @2x),n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-121,(does not exist — assets/method/ directory itself is absent),method-mate.html,Section band (ART SLOT B),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x360 (2680x720 @2x),n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-122,(does not exist — assets/method/ directory itself is absent),method-porges.html,Section band (ART SLOT B),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x360 (2680x720 @2x),n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-123,(does not exist — assets/method/ directory itself is absent),method-watts.html,Section band (ART SLOT B),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",1340x360 (2680x720 @2x),n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-124,(does not exist — assets/method/ directory itself is absent),all six method-*.html pages (shared),Somatic Release resource card art (16:9),"n/a — reference is inside an HTML comment, never fetched by the browser; a 'NEEDS ART'/'Reuse' text placeholder renders instead",not specified beyond '16:9' in the card slug placeholder text,n/a,n/a,n/a — commented out,,n/a,MISSING,provision per the exact spec already written in each page's own ART SLOT comment,P2
IMG-125,"(inline base64, no file path — data:image/png in a style= background-image)",protocol.html,background scrim behind some banner element,1086x1448 (decoded),"n/a — should be extracted to a real file and referenced by path, not embedded",n/a,"3/4 (1086/1448) — identical pixel dimensions to assets/covers/t3-01.jpg, strongly suggesting duplicated content re-encoded as PNG",UNVERIFIABLE (no CSS box confirmed for this specific element),image/png (decoded),n/a — not file-extension-based,RESIZE/RE-EXPORT,"extract to a real file (likely already exists as assets/covers/t3-01.jpg — verify and just reference that instead), stop inlining as base64: current inline PNG is 1.78MB vs. the equivalent JPEG file elsewhere being ~300KB — a 6x weight penalty for no visual benefit, and defeats HTTP caching entirely",P1
IMG-126,"(inline base64, no file path — data:image/png in an <img src=)",protocol.html,.journey-visual figure,2172x724 (decoded),n/a — should be extracted to a real file,n/a,3/1 approx (2172/724) — identical pixel dimensions to assets/pt/protocols/anxiety-journey.webp,UNVERIFIABLE,image/png (decoded),n/a,RESIZE/RE-EXPORT,extract to a real file (a WebP of the same dimensions already exists at assets/pt/protocols/anxiety-journey.webp — reference that instead of inlining a 1.77MB PNG duplicate),P1
IMG-127,"(inline base64, no file path)",resource.html,cover-art background scrim,"900x1200 (decoded, x2, both identical)",n/a,n/a,3/4 (900/1200),UNVERIFIABLE,image/jpeg (decoded),n/a,KEEP,"small (52KB decoded) — unlike protocol.html's case this is not a meaningful weight problem, no action needed",P3
